Game_Orig,Revenue,Initial release,Publisher(s),Genres_Raw,Game_standard,Genre
Mobile Legends: Bang Bang,1000000000,07-11-16,Moonton (ByteDance),MOBA,mobile legends: bang bang,moba
League of Legends: Wild Rift,505000000,10-27-20,Riot Games (Tencent),MOBA,league of legends: wild rift,moba
#COMPASS,281000000,12-17-16,NHN PlayArt / Dwango,MOBA,#compass,moba
Bingo Blitz,443000000,08-12-12,Playtika,Online Bingo,bingo blitz,onlinebingo
Angry Birds 2,332500000,07-30-15,Rovio Entertainment,Physics / Puzzle,angry birds 2,physics/puzzle
Candy Crush Saga,7456000000,11-14-12,King (Activision Blizzard),Puzzle,candy crush saga,puzzle
Candy Crush Soda Saga,2000000000,10-20-14,King (Activision Blizzard),Puzzle,candy crush soda saga,puzzle
Toon Blast,1600000000,03-03-17,Peak Games,Puzzle,toon blast,puzzle
Disney Tsum Tsum,1500000000,01-29-14,LINE,Puzzle,disney tsum tsum,puzzle
Fishdom,923600000,12-10-15,Playrix,Puzzle,fishdom,puzzle
Gardenscapes,3000000000,07-05-16,Playrix,Puzzle / Decoration,gardenscapes,puzzle/decoration
Homescapes,2294000000,09-15-17,Playrix,Puzzle / Decoration,homescapes,puzzle/decoration
Project Makeover,218000000,11-27-20,Bubblegum Games,Puzzle / Decoration,project makeover,puzzle/decoration
Empire & Puzzles,186000000,03-01-17,Small Giant Games,Puzzle / RPG,empire & puzzles,puzzle/rpg
Monster Strike,10000000000,08-08-13,Mixi,Puzzle / RPG / Strategy,monster strike,puzzle/rpg/strategy
Puzzles & Survival,151000000,10-02-20,37Games,Puzzle / Strategy,puzzles & survival,puzzle/strategy
CSR Racing 2,121500000,06-29-16,NaturalMotion (Zynga),Racing,csr racing 2,racing
Mario Kart Tour,282000000,09-25-19,Nintendo,Racing (Kart),mario kart tour,racing(kart)
KartRider Rush+,169000000,05-31-20,Nexon,Racing (Kart),kartrider rush+,racing(kart)
QQ Speed Mobile / Speed Drifters,945000000,06-15-17,Tencent Games / Garena,Racing (Kart / MMOR),qq speed mobile,racing(kart/mmor)
Clash Royale,3000000000,03-02-16,Supercell (Tencent),Real-time strategy,clash royale,real-timestrategy
The Battle Cats,600000000,11-01-12,PONOS Corporation,Real Time Strategy,the battle cats,realtimestrategy
BanG Dream! Girls Band Party!,124050000,03-16-17,Bushiroad,Rhythm / Adventure,bang dream! girls band party!,rhythm/adventure
Fate/Grand Order,6300000000,07-30-15,Aniplex (Sony Music Entertainment Japan),RPG,fate/grand order,rpg
AFK Arena,1450000000,01-07-19,Lilith Games,RPG,afk arena,rpg
Onmyoji,1129000000,06-20-16,NetEase,RPG,onmyoji,rpg
Star Wars: Galaxy of Heroes,1071000000,11-24-15,Electronic Arts,RPG,star wars: galaxy of heroes,rpg
Marvel Strike Force,846000000,03-28-18,FoxNext / Scopely,RPG,marvel strike force,rpg
Puzzle & Dragons,8578340000,02-20-12,GungHo Online Entertainment,RPG / Puzzle,puzzle & dragons,rpg/puzzle
Dragon Ball Z: Dokkan Battle,3500000000,01-30-15,Bandai Namco Entertainment,RPG / Puzzle,dragon ball z: dokkan battle,rpg/puzzle
Minecraft,500000000,11-18-11,Mojang Studios,Sandbox / Survival,minecraft,sandbox/survival
Call of Duty: Mobile,1500000000,10-01-19,Activision / Tencent / Garena,Shooter / Battle royale,call of duty: mobile,shooter/battleroyale
Hay Day,1400000000,06-21-12,Supercell (Tencent),Simulation,hay day,simulation
Township,922100000,02-24-12,Playrix,Simulation (CMS),township,simulation(cms)
Fallout Shelter,100000000,06-14-15,Bethesda Softworks,Simulation (CMS),fallout shelter,simulation(cms)
Slotomania,149000000,11-07-11,Playtika,Simulation (Slot),slotomania,simulation(slot)
Animal Crossing: Pocket Camp,282000000,10-25-17,Nintendo,Simulation (Social),animal crossing: pocket camp,simulation(social)
Uma Musume Pretty Derby,990000000,02-24-21,Cygames,Simulation / Social,uma musume pretty derby,simulation/social
Madden NFL Overdrive,100000000,08-15-18,EA Sports (Electronic Arts),Sports (American football),madden nfl overdrive,sports(americanfootball)
FIFA Mobile / FIFA Soccer,308700000,10-11-16,EA Sports (Electronic Arts),Sports (association football),fifa mobile,sports(associationfootball)
Pro Yakyū Spirits A / Pro Baseball Spirits A,2200000000,10-21-15,Konami,Sports (baseball),pro yakyū spirits a,sports(baseball)
Jikkyou Powerful Pro Yakyuu,155000000,12-18-14,Konami,Sports (baseball),jikkyou powerful pro yakyuu,sports(baseball)
NBA Live Mobile,140000000,07-06-16,EA Sports (Electronic Arts),Sports (basketball),nba live mobile,sports(basketball)
8 Ball Pool,400000000,10-15-10,Miniclip,Sports (pool),8 ball pool,sports(pool)
Clash of Clans,8000000000,08-02-12,Supercell (Tencent),Strategy,clash of clans,strategy
Game of War: Fire Age,2800000000,07-25-13,Machine Zone,Strategy,game of war: fire age,strategy
Boom Beach,1000000000,11-11-13,Supercell (Tencent),Strategy,boom beach,strategy
Mobile Strike,1000000000,07-11-15,Machine Zone,Strategy,mobile strike,strategy
Rise of Kingdoms,926000000,09-20-18,Lilith Games,Strategy,rise of kingdoms,strategy
Three Kingdoms Tactics,1936200000,09-19-19,Alibaba Group / Koei Tecmo,Strategy (4X),three kingdoms tactics,strategy(4x)
Star Trek Fleet Command,222000000,11-29-18,Scopely / CBS Interactive,Strategy (4X),star trek fleet command,strategy(4x)
Three Kingdoms Fantasy Land,161600000,06-20-20,Alibaba Group,Strategy (auto battler),three kingdoms fantasy land,strategy(autobattler)
Lords Mobile,2576700000,02-26-16,IGG,Strategy / MMO,lords mobile,strategy/mmo
Clash of Kings,700000000,06-14-14,Elex Tech,Strategy / MMO,clash of kings,strategy/mmo
Guns of Glory,510000000,09-08-17,FunPlus,Strategy MMORPG,guns of glory,strategymmorpg
Crossfire Mobile,458000000,12-03-15,Smilegate / Tencent,Tactical FPS,crossfire mobile,tacticalfps
Fire Emblem Heroes,1000000000,02-02-17,Nintendo,Tactical RPG,fire emblem heroes,tacticalrpg
Dragon Quest Tact,111990000,07-16-20,Square Enix,Tactical RPG,dragon quest tact,tacticalrpg
Summoners War: Sky Arena,1350000000,06-12-14,Com2Us,TBS / MMO,summoners war: sky arena,tbs/mmo
Yahtzee With Buddies,113000000,11-01-17,Scopely,Yahtzee,yahtzee with buddies,yahtzee
