Game,Revenue,Initial release,Publisher(s),Genre(s)
Crossfire Mobile,458000000,12-03-15,Smilegate / Tencent,Tactical FPS
Blade & Soul Revolution,457000000,12-06-18,Netmarble,MMORPG
Bingo Blitz,443000000,08-12-12,Playtika,Online Bingo
Harry Potter: Hogwarts Mystery,401000000,04-25-18,Jam City (Netmarble),RPG
8 Ball Pool,400000000,10-15-10,Miniclip,Sports (pool)
Harry Potter: Magic Awakened,358000000,09-09-21,NetEase / Portkey Games,RPG
Angry Birds 2,332500000,07-30-15,Rovio Entertainment,Physics / Puzzle
FIFA Mobile / FIFA Soccer,308700000,10-11-16,EA Sports (Electronic Arts),Sports (association football)
Lineage W,302985000,11-04-21,NCsoft,MMORPG
Black Desert Mobile,300000000,06-15-19,Kakao Games,MMORPG
Yu-Gi-Oh! Duel Links,284000000,11-17-16,Konami,Digital collectible card game
Mario Kart Tour,282000000,09-25-19,Nintendo,Racing (Kart)
Animal Crossing: Pocket Camp,282000000,10-25-17,Nintendo,Simulation (Social)
#COMPASS,281000000,12-17-16,NHN PlayArt / Dwango,MOBA
Raid: Shadow Legends,247000000,07-29-18,Plarium,RPG
Star Trek Fleet Command,222000000,11-29-18,Scopely / CBS Interactive,Strategy (4X)
Project Makeover,218000000,11-27-20,Bubblegum Games,Puzzle / Decoration
Harry Potter: Puzzles & Spells,218000000,09-22-20,Portkey Games / Zynga,Puzzle
DomiNations,200000000,04-01-15,Big Huge Games,Strategy
Candy Crush Friends Saga,200000000,10-10-18,King (Activision Blizzard),Puzzle
Top War,192000000,12-31-19,Topwar Studio,Strategy
Empire & Puzzles,186000000,03-01-17,Small Giant Games,Puzzle / RPG
KartRider Rush+,169000000,05-31-20,Nexon,Racing (Kart)
Dragalia Lost,168000000,09-27-18,Nintendo,Action RPG
Perfect World Mobile,165000000,03-05-19,Perfect World Games / Tencent,MMORPG
Three Kingdoms Fantasy Land,161600000,06-20-20,Alibaba Group,Strategy (auto battler)
Candy Crush Jelly Saga,158000000,08-28-15,King (Activision Blizzard),Puzzle
Jikkyou Powerful Pro Yakyuu,155000000,12-18-14,Konami,Sports (baseball)
Puzzles & Survival,151000000,10-02-20,37Games,Puzzle / Strategy
Slotomania,149000000,11-07-11,Playtika,Simulation (Slot)
NBA Live Mobile,140000000,07-06-16,EA Sports (Electronic Arts),Sports (basketball)
White Cat Project,134000000,07-14-14,Colopl,Action RPG
BanG Dream! Girls Band Party!,124050000,03-16-17,Bushiroad,Rhythm / Adventure
CSR Racing 2,121500000,06-29-16,NaturalMotion (Zynga),Racing
One Piece: Burning Will,117000000,09-20-18,Bandai Namco / Alibaba Group,RPG
One Piece: The Road of the Strong,113840000,01-15-16,CMGE,DCCG
Yahtzee With Buddies,113000000,11-01-17,Scopely,Yahtzee
Dragon Quest Tact,111990000,07-16-20,Square Enix,Tactical RPG
Fallout Shelter,100000000,06-14-15,Bethesda Softworks,Simulation (CMS)
Mafia City,100000000,07-25-17,Yotta Games,RPG
Madden NFL Overdrive,100000000,08-15-18,EA Sports (Electronic Arts),Sports (American football)
